v2_id,legacy_wp_id,status,name,address,stored_postal_code,stored_city_name,derived_postal_code,derived_city_name,latitude,longitude,geography,classification,issues,legacy_published_at
1,13453,published,Effes,"Rue Jean de Ponthieu 80100 Abbeville",,,80100,Abbeville,50.1066316,1.8328573,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
4,13454,published,"Chez Dalan","28 chaussee du bois 80100 Abbeville",,,80100,Abbeville,50.1080799,1.8370869,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
8,13455,published,"La Strada","15 boulevard de la republique 80100 Abbeville",,,80100,Abbeville,50.1095196,1.8391408,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
9,13456,published,Izmir,"29 rue du maréchal Foch 80100 Abbeville",,,80100,Abbeville,50.1049676,1.8351987,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
10,13457,published,"Etoile d'Istanbul","17 avenue de la gare 80100 Abbeville",,,80100,Abbeville,50.1026486,1.8252937,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
29,13458,published,L'Atlas,"Route Boucher De Perthes 80100 Abbeville",,,80100,Abbeville,50.1059393,1.8358482,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
30,13459,published,"Le Cappadoce","1 Boulevard De La République 80100 Abbeville",,,80100,Abbeville,50.1091881,1.8392561,Abbeville,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
31,13460,published,"Noodle ness","24 avenue des Droits de L'homme 78260 Acheres",,,78260,Acheres,48.9505103,2.0642055,Acheres,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
32,13461,published,"Croque MC","43 Avenue de Stalingrad 78260 Achères",,,78260,Achères,48.9626060,2.0709515,Acheres,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
33,13462,published,Denise,"2 Rue Paquet 78260 Achères",,,78260,Achères,48.9618719,2.0709798,Acheres,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
34,13463,published,"Le Dawliz","24 Avenue des Droits de l'Homme 78260 Achères",,,78260,Achères,48.9505103,2.0642055,Acheres,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
35,13464,published,"Le Délice","Avenue de Stalingrad 78260 Achères",,,78260,Achères,48.9613947,2.0694236,Acheres,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
2,13465,published,"So Asia","42 Avenue de Stalingrad 78260 Achères",,,78260,Achères,48.9622243,2.0708556,Acheres,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
36,13466,published,"Oasis Kebab","1 Rue des Tamaris 34300 Agde",,,34300,Agde,43.3035160,3.4842790,Agde,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
37,13467,published,"Istanbul kebab","3 Impasse du Globe 34300 Agde",,,34300,Agde,43.2818978,3.5151981,Agde,COMPLETE_WITH_GPS,,"2017-08-21 22:28:40"
1299,14733,published,"Babylon Kebab","36 rue de lHorloge 11400 Castelnaudary",,,11400,Castelnaudary,,,Castelnaudary,COMPLETE_NO_GPS,,"2017-08-21 22:30:55"
1897,15335,published,"quick halal creil nogent","1-3 Avenue de LEurope 60100 Creil",,,60100,Creil,,,Creil,COMPLETE_NO_GPS,,"2017-08-21 22:32:06"
4023,17463,published,"Pizza et Tradition","32 Avenue de lEcole dAgriculture 34000 Montpellier",,,34000,Montpellier,,,Montpellier,COMPLETE_NO_GPS,,"2017-08-21 22:36:34"
4073,17513,published,"quick halal Montreuil","55 Boulevard Rouget de LIsle 93100 Montreuil",,,93100,Montreuil,,,Montreuil,COMPLETE_NO_GPS,,"2017-08-21 22:36:41"
4231,17671,published,"Mer Caspienne","11 rue de lArmée Patton 54000 Nancy",,,54000,Nancy,,,Nancy,COMPLETE_NO_GPS,,"2017-08-21 22:37:00"
4983,18436,published,"Hangar Türkü","29 rue dEnghien 75010 Paris",,,75010,Paris,,,Paris,COMPLETE_NO_GPS,,"2017-08-21 22:38:39"
7638,22256,pending,"Fresh Burritos Nanterre","13 Terr. de l'Université, 92000 Nanterre",,,92000,Nanterre,,,Nanterre,COMPLETE_NO_GPS,,
7698,22737,pending,"Braise Gourmande","111 avenue du Rosny 93250 Villemomble",,,93250,Villemomble,,,Villemomble,COMPLETE_NO_GPS,,
