line,kind,source,destination,flags,conditions,infrastructure,query_condition,home_destination,drops_query,unicode_source
3,rewrite,^(.*)$,https://top-halal.fr/$1,"QSA,L,R=301",%{HTTP_HOST} ^www.top-halal.fr$,True,False,False,False,False
5,rewrite,^.*$,https://%{SERVER_NAME}%{REQUEST_URI},"R=301,L",%{HTTPS} !=on,True,False,True,False,False
8,rewrite,^(.*),https://top-halal.fr/?,"L,R=301",%{HTTP_HOST} ^goodtime-restaurant.fr$ [or] | %{HTTP_HOST} ^www.goodtime-restaurant.fr$,True,False,True,True,False
9,exact,/events,https://top-halal.fr/,,,False,False,True,False,False
10,exact,/password-recovery,https://top-halal.fr/,,,False,False,True,False,False
11,exact,/restaurants/specialite/creperie,https://top-halal.fr/specialites/cuisine-creperie,,,False,False,False,False,False
12,exact,/restaurants/specialite/software,https://top-halal.fr/,,,False,False,True,False,False
13,exact,/restaurants-par-specialite,https://top-halal.fr/guide-top-halal,,,False,False,False,False,False
14,exact,/restaurants-par-specialites-services,https://top-halal.fr/guide-top-halal,,,False,False,False,False,False
15,exact,/testttt,https://top-halal.fr/guide-top-halal,,,False,False,False,False,False
16,exact,/cuisine-fast-food,https://top-halal.fr/specialites/cuisine-fast-food,,,False,False,False,False,False
17,exact,/videoss,https://top-halal.fr/videos,,,False,False,False,False,False
18,exact,/mon-compte/event-favorites/www.linkedin.com/www.google.com/www.linkedin.com/appthemes,https://top-halal.fr/,,,False,False,True,False,False
19,exact,/mon-compte/event-favorites/www.linkedin.com/www.google.com/appthemes,https://top-halal.fr/,,,False,False,True,False,False
20,exact,/mon-compte/restaurants/customer/page/495,https://top-halal.fr/,,,False,False,True,False,False
21,exact,/mon-compte/restaurants/customer,https://top-halal.fr/,,,False,False,True,False,False
22,exact,/tout-savoir-sur-le-halal,https://top-halal.fr/signification-du-mot-halal,,,False,False,False,False,False
23,exact,/mosquee-de-paris/sida-et-islam,https://top-halal.fr/mosquee-de-paris/islam-et-sida,,,False,False,False,False,False
24,exact,/eyeblaster/addineyeV2.html,https://top-halal.fr/,,,False,False,True,False,False
25,exact,/quick,https://top-halal.fr/quick-hallal,,,False,False,False,False,False
27,rewrite,^muslim-gourmet/$,https://top-halal.fr/muslim-gourmet?,"L,R=301",%{REQUEST_URI} ^$,False,False,False,True,False
29,rewrite,^.*$,https://top-halal.fr/?,"L,R=301",%{REQUEST_URI} ^/mon-compte/restaurants/twitter.*$,False,False,True,True,False
31,rewrite,^.*$,https://top-halal.fr/?,"L,R=301",%{REQUEST_URI} ^/mon-compte/restaurants/www.youtube.*$,False,False,True,True,False
33,rewrite,^.*$,https://top-halal.fr/muslim-gourmet?,"L,R=301",%{REQUEST_URI} ^/muslim-gourmet/page/.*$,False,False,False,True,False
35,rewrite,^.*$,https://top-halal.fr/?,"L,R=301",%{REQUEST_URI} ^/author/younes/page/.*$,False,False,True,True,False
